# 컴퓨터
blindnews	6. 시각장애인 기관 단체	top	kbu|kswvha|koma|svc|anma|kbfo|salib|dbu|mapobrl|chonbuk|kbar|kaba|hanbat|incheon|chungbuk|knsi|kbuk|ksbl|ggkbu|kbu0023|hcc
kbu	1. 한국시각장애인연합회	blindnews	kbubranch|kbuts|kbu4|kbupds|kbu1|kbu99
kbubranch	1. 한시련 사업 공모	kbu	/bbs/board.php?bo_table=kbubranchkbuts
kbuts	2. 생활용구 안내	kbu	/bbs/board.php?bo_table=kbuts
kbupds	4. 자료실	kbu	/bbs/board.php?bo_table=kbupds
kbu1	6. KBU 정보센터	kbu	/bbs/board.php?bo_table=kbu1
kbu99	99. 한시련에 바란다	kbu	/bbs/board.php?bo_table=kbu99
kswvha	2. 한국시각장애인복지재단	blindnews	ksinfo|kslib|ksreb
ksinfo	1. 공지사항	kswvha	/bbs/board.php?bo_table=ksinfo
kslib	2. 도서안내	kswvha	/bbs/board.php?bo_table=kslib
ksreb	3. 생활용품안내	kswvha	/bbs/board.php?bo_table=ksreb
koma	3. 대한안마사협회	blindnews	sinfo|sfree|koma-spds|snews
sinfo	1. 공지사항	koma	/bbs/board.php?bo_table=sinfo&cl=koma
sfree	2. 게시판	koma	/bbs/board.php?bo_table=sfree&cl=koma
koma-spds	3. 자료실	koma	svoice|sutil|sdata|stel|slaw
svoice	1. 녹음자료실	koma-spds	/bbs/board.php?bo_table=svoice
sutil	2. 유틸리티	koma-spds	/bbs/board.php?bo_table=sutil
sdata	3. 문서	koma-spds	/bbs/board.php?bo_table=sdata
stel	4. 시술소전화번호	koma-spds	/bbs/board.php?bo_table=stel
slaw	5. 안마사제도관련법률	koma-spds	/bbs/board.php?bo_table=slaw
snews	4. 안마사관련기사	koma	/bbs/board.php?bo_table=snews&cl=koma
svc	4. 서울시각장애인복지관	blindnews	svc100|svc200|svc-svc300|svc400
svc100	1. 공지사항	svc	/bbs/board.php?bo_table=svc100&cl=svc
svc200	2. 자유게시판	svc	/bbs/board.php?bo_table=svc200&cl=svc
svc-svc300	3. 자료실	svc	svc301|svc302|svc303|svc304
svc301	1. 도서목록	svc-svc300	/bbs/board.php?bo_table=svc301&cl=svc
svc302	2. 입력예정도서목록	svc-svc300	/bbs/board.php?bo_table=svc302&cl=svc
svc303	3. 좋은이웃	svc-svc300	/bbs/board.php?bo_table=svc303&cl=svc
svc304	4. 정보화 자료실	svc-svc300	/bbs/board.php?bo_table=svc304&cl=svc
svc400	4. 생활용구실	svc	/bbs/board.php?bo_table=svc400&cl=svc
anma	5. 대한안마사협회 경남지부	blindnews	anmainfo|anmafree|anmapd
anmainfo	1. 협회에서알립니다	anma	/bbs/board.php?bo_table=anmainfo
anmafree	2. 자유게시판	anma	/bbs/board.php?bo_table=anmafree
anmapd	3. 자료실	anma	anmadata|anmaetc|anmapds
anmadata	1. 안마업관련자료	anmapd	/bbs/board.php?bo_table=anmadata
anmaetc	2. 기타자료	anmapd	/bbs/board.php?bo_table=anmaetc
anmapds	99. 전체자료	anmapd	/bbs/board.php?bo_table=anmapds
kbfo	6. 대한시각장애인역리학회	blindnews	kbfoinfo|kbfolib|kbfopd|kbfofree
kbfoinfo	1. 공지사항	kbfo	/bbs/board.php?bo_table=kbfoinfo
bfolib	2. 도서목록	kbfo	kbfojumja|kbforec|kbfoetc
kbfojumja	1. 점자도서목록	kbfolib	/bbs/board.php?bo_table=kbfojumja
kbforec	2. 녹음도서목록	kbfolib	/bbs/board.php?bo_table=kbforec
kbfoetc	3. 기타	kbfolib	/bbs/board.php?bo_table=kbfoetc
kbfopd	3. 자료실	kbfo	kbfotext|kbfoprg|kbfomp3|kbfoetcd|kbfopds
kbfotext	1. 문서자료	kbfopd	/bbs/board.php?bo_table=kbfotext
kbfoprg	2. 프로그램	kbfopd	/bbs/board.php?bo_table=kbfoprg
kbfomp3	3. MP3	kbfopd	/bbs/board.php?bo_table=kbfomp3
kbfoetcd	4. 기타	kbfopd	/bbs/board.php?bo_table=kbfoetcd
kbfopds	99. 전체자료	kbfopd	/bbs/board.php?bo_table=kbfopds
kbfofree	4. 자유게시판	kbfo	/bbs/board.php?bo_table=kbfofree
salib	8. 송암점자도서관	blindnews	salib1|salib2|salib3|salib4|salib5|salib-salib6|salib7
salib1	1. 공지사항	salib	/bbs/board.php?bo_table=salib1&cl=salib
